Cryptocurrency,Amount,Transaction Type,Confirmed At
BTC,0.00054321,Bonus Payment,2020-12-31 23:59:59
BTC,-0.00000000,Trade,2020-12-31 23:59:59
GUSD,0.00000000,Trade,2020-12-31 23:59:59
PAX,-100.00000000,Withdrawal,2020-12-31 23:59:59
GUSD,-0.00000000,Trade,2020-12-31 23:59:59
PAX,0.00000000,Trade,2020-12-31 23:59:59
USDC,2000.00000000,Crypto Transfer,2020-12-30 23:59:59
BTC,-0.00000000,Trade,2020-12-31 23:59:59
USDC,0.00000000,Trade,2020-12-31 23:59:59
USDC,-0.25000000,Withdrawal Fee,2020-12-31 23:59:59
USDC,-500.00000000,Withdrawal,2020-12-31 23:59:59
USDC,1500.00000000,Crypto Transfer,2020-12-30 23:59:59
GUSD,2500.00,Wire Deposit,2020-12-31 23:59:59
BTC,0.00001234,Interest Payment,2020-12-31 23:59:59
BTC,1.23456789,Crypto Transfer,2020-12-30 23:59:59
