For Account:,####1234

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/31/23,Transfer,UNKNOWN, ,0,-5000,0,0,ACH WITHDRAWL                 REFID:00000000002;
12/12/23,Sold,EQ,COIN,-50,7523.00,150.46,0,COINBASE GLOBAL INC           CLASS A COMMON STOCK
12/31/22,Interest,EQ,#1234567,0,0.10,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               INTEREST
12/20/22,Bought,EQ,COIN,100,-3515.00,35.15,0,COINBASE GLOBAL INC           CLASS A COMMON STOCK
12/15/22,Transfer,UNKNOWN, ,0,5000,0,0,ACH DEPOSIT                   REFID:00000000001;





