account_name,subaccount_name,subaccount_address,hash,type,status,block,time,volume,fee,sender,alias,receiver,direction,delegate
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,oofT4FRBjAuaZe73v59Ho1MQtBd9uHLwfnyDZLUpF68LTG8PjAN,transaction,applied,BLMQpUBQSNZpeK4TzDerBUsWtfFd565G3jdog4318SCrAdL41a9,2023-09-28T06:55:54Z,2.933576,0.064668,tz1SzeCZ3Hm6GjdVbS5N7BVPNCL4tJwwDey6,,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,IN,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,oom1tVrxduznBCxEDYyuACYfQ5vjX8NJTaQT8o7HcngG4sE2KQC,transaction,applied,BLhL4EyJao5GF2DxU9bu4gTbCKJYRfeeeUiKguHsYffPG3VtYBa,2023-09-28T06:56:09Z,5.226373,0.000419,tz1W6ZTKizDS23YDoqh5mPQPEKpPfohW4nYh,,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,IN,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,opG7VL9sF4mKJsBGUQSDfcrtH7qEbSRErWWYpYA2iNnQXNPsW8P,transaction,applied,BLd6LfY2jrwboSG2ehWeVTwHcgnfFn62PdfT8azsip7LBLi9Adk,2023-09-28T06:56:54Z,0.893923,0.000417,tz1R7zZMCg5RYt6fMsPpe6Td2bD7K6twsZgK,,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,IN,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,ooh2KtX1KmWRt5GN465ma69X7h5qwucNsH372GTCWwY9PFiokwF,reveal,applied,BKoCUqdS8UZEvCx4nbVc4Tbn2j75L2M7hYE7reen5TtkLxEwRGQ,2023-09-28T07:01:39Z,0.000000,0.000374,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,ooh2KtX1KmWRt5GN465ma69X7h5qwucNsH372GTCWwY9PFiokwF,transaction,applied,BKoCUqdS8UZEvCx4nbVc4Tbn2j75L2M7hYE7reen5TtkLxEwRGQ,2023-09-28T07:01:39Z,1.000000,0.064726,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,tz1bcGpZi1QnnMdCzKJQNsmtZXjsBVxKPqRq,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,onjxc6ZS94ZRbWBZSKidjemm4xdLGZXzSTrjPykSTTFaHimaZSL,origination,applied,BM93HW18GAKBXK6NDw8m4sG5qrdvumDTdKiLntakm7B4MKLqQ9h,2023-09-28T07:03:24Z,0.000000,1.177565,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,opSCvF1wkUyXzUomvLUfk5stNzy1wST3Pr42VCoPjJgg47h4q3h,transaction,applied,BLtWggKr5ggv52oWNHYCvteF9okptjNca2KNAY7223vfYKMPGeq,2023-09-28T08:40:41Z,6.810787,0.000419,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,tz1bcGpZi1QnnMdCzKJQNsmtZXjsBVxKPqRq,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,ooaAiA13xixuVwMhRSKpGq83YfhcAYWtgbicFshfvLkB1nQr65r,transaction,applied,BLqJc6yeBq2cvy1qDyXSycmLGGERBBHEaxeyLPYQaPRbi6ajRfF,2023-09-28T13:37:29Z,9.990000,0.000800,tz2WDATNYnp7FdsmuZDYSidioZqeoLNZqXvE,Binance,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,IN,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,onyr3R9cW4yXumENRUW2MRQJGBNP1nPLyx2Wz2woMyVBpjX1f76,transaction,applied,BKmGjtQp97YN2A6aVTCcNQ8BwAeHTCA5cD9rTY9RcsqyRxwhutH,2023-09-28T13:39:14Z,77.910997,0.000800,tz2WDATNYnp7FdsmuZDYSidioZqeoLNZqXvE,Binance,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,IN,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,onpJqfSZkjaMSCudTB9GUwyY1eczWR9atSg3Cjrz9VyBm4a27L4,origination,applied,BLcXrWYgZhawok22c39Kc2qSDX7FhD7oMfCzpmgEiWAvk43xJCg,2023-09-28T13:59:15Z,0.000000,1.653367,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,ontvTL1oX9Zj9j6CnnRATEpNqkDKhaP8x77F3TvVa3NcVUFDqcS,transaction,applied,BMPaJZysEHfBuXDLrt26pmUPTb5LWRZD6v18wFrh32Kti1Q5uSx,2023-09-28T15:09:00Z,1.000000,0.064668,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,tz1MuvmGTeBByXG6D47ZQmy5uNX5MMMDacHF,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,onhMGGFBSdFKHvDsK3BrJhZvb7K6shToT9XLMxiowpgoQVXWyk1,transaction,applied,BLsLGZSpj6G93v1VYCUmZ56zfxaTdMXLdQCvyi6P2kMqJDTULiw,2023-09-28T15:17:45Z,11.000000,0.000419,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,tz1MuvmGTeBByXG6D47ZQmy5uNX5MMMDacHF,OUT,
ledger,nano:x-1:fun-1,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,op473kfwVLXopZZ3Lm9UeUJotrAfqrE2yyho6BAo4vzfVc5yaVP,transaction,applied,BL6ixdz5gpQkKJYGWpSMiPX1cPMaaLtQTJm67wrRUao94zyZrTd,2023-09-28T16:49:24Z,1.200000,0.064668,tz1b5qZarKoNC8X4x5cknkptN3n7XfGcxY6r,,tz1iSZsQn7ibw2kB9ZzA9UhQFZ9MKC38qpQd,OUT,
