account_name,subaccount_name,subaccount_address,id,fee,receiver_rewards,round_time,sender,sender_rewards,tx_type,amount,receiver,direction,to_self
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,YIM4TRBKMJFOLJIPYIZN4DYXBJVZ6ARVGYCFEJJCZVNIE6QBNBTQ,0,0,2022-07-20 14:23:20,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,0,axfer,0.000000,ZCGPLSIVE5ZGYIQL7XBPIB2HOYXAXJAF6FUPBRBJUVS2H2A5FJRPDFTQGU,OUT,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,YIM4TRBKMJFOLJIPYIZN4DYXBJVZ6ARVGYCFEJJCZVNIE6QBNBTQ,0,0.000000,2022-07-20 14:23:20,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,0.000000,axfer,0,ZCGPLSIVE5ZGYIQL7XBPIB2HOYXAXJAF6FUPBRBJUVS2H2A5FJRPDFTQGU,OUT,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,IHGJWECWYAFJFRRLER3WCUAKWMTTIJD7ALWI2IMKYL2IXBB7KPMQ,0.002,0,2022-07-20 14:23:20,ZCGPLSIVE5ZGYIQL7XBPIB2HOYXAXJAF6FUPBRBJUVS2H2A5FJRPDFTQGU,0,appl,0.000000,,IN,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,IHGJWECWYAFJFRRLER3WCUAKWMTTIJD7ALWI2IMKYL2IXBB7KPMQ,0,0.000000,2022-07-20 14:23:20,ZCGPLSIVE5ZGYIQL7XBPIB2HOYXAXJAF6FUPBRBJUVS2H2A5FJRPDFTQGU,0.000600,appl,0,,IN,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,TOAAMG5BQD624WMTBPHOMBS6R5X6KFBJOWSDN3LUVNAHRAHA2BLQ,0.001,0,2022-04-13 20:37:21,3B4APXPZPMV7M7LLW4HQREQORY6LBKGI4ZNRM44UGI7JVC6RTHN4R2TE3E,0,axfer,0.000000,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,IN,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,TOAAMG5BQD624WMTBPHOMBS6R5X6KFBJOWSDN3LUVNAHRAHA2BLQ,0,0.000000,2022-04-13 20:37:21,3B4APXPZPMV7M7LLW4HQREQORY6LBKGI4ZNRM44UGI7JVC6RTHN4R2TE3E,0.000000,axfer,0,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,IN,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,DLV7FHMX7GZVKIDNEJCVEADG2OKQ3JT6IFPNGLS3RBMOS2NOQYIA,0,0,2022-04-13 20:37:04,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,0,axfer,0.000000,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,OUT,true
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,DLV7FHMX7GZVKIDNEJCVEADG2OKQ3JT6IFPNGLS3RBMOS2NOQYIA,0,0.000000,2022-04-13 20:37:04,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,0.000000,axfer,0,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,OUT,true
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,NCM4FVTKQ77OSZ6YMQV77E6UODHSPEWLFIG2RVDGD5JYTTOB2ZEA,0.001,0,2022-04-13 20:36:55,3B4APXPZPMV7M7LLW4HQREQORY6LBKGI4ZNRM44UGI7JVC6RTHN4R2TE3E,0,pay,0.220000,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,IN,false
pera-wallet,phone:mobile-2,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,NCM4FVTKQ77OSZ6YMQV77E6UODHSPEWLFIG2RVDGD5JYTTOB2ZEA,0,0.000000,2022-04-13 20:36:55,3B4APXPZPMV7M7LLW4HQREQORY6LBKGI4ZNRM44UGI7JVC6RTHN4R2TE3E,0.000000,pay,0,NKXSKLVZ5OHFEXDAVBGL4C5BVW4VJ5FHE4LAK2CSDQZTDGW5T5OVJSGAXY,IN,false
