account_name,subaccount_name,subaccount_address,id,fee,receiver_rewards,round_time,sender,sender_rewards,tx_type,amount,receiver,direction,to_self
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,2DLH4RB45YOZGCKXMJQYTRHXI5HXPYRZ2N75Z4A3BRAM5GJ2AW5Q,0.001,0,2024-01-27 10:23:33,5ZTFAAE5XSZXQSE2VSYNP2IDQTODCAWJD5YXMPIRYRDVKE3XZSL7FXHCSU,0,pay,0.000100,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,2DLH4RB45YOZGCKXMJQYTRHXI5HXPYRZ2N75Z4A3BRAM5GJ2AW5Q,0,0.000000,2024-01-27 10:23:33,5ZTFAAE5XSZXQSE2VSYNP2IDQTODCAWJD5YXMPIRYRDVKE3XZSL7FXHCSU,0.000000,pay,0,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,3TNFEXXT7FJJAT2EBY3M4UJQTC2SGBSNXL2FJJOUQYVROY6EUYFA,0,0,2024-01-27 10:04:03,OLDMLHGAS3QPO77ZSBOR6YKDDNYDZ7A5MQ55MKJZZYZEC4JPXYNIQDMUVI,0,pay,4.756117,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,3TNFEXXT7FJJAT2EBY3M4UJQTC2SGBSNXL2FJJOUQYVROY6EUYFA,0,0.000000,2024-01-27 10:04:03,OLDMLHGAS3QPO77ZSBOR6YKDDNYDZ7A5MQ55MKJZZYZEC4JPXYNIQDMUVI,0.000000,pay,0,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,FBEIEOLGIPJPCB5QF5LB6U5POUGHHVEFW3ZB74IPCISSAYEYE5CQ,0.002,0,2024-01-27 10:04:03,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,0,appl,0.000000,,OUT,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,FBEIEOLGIPJPCB5QF5LB6U5POUGHHVEFW3ZB74IPCISSAYEYE5CQ,0,0.000000,2024-01-27 10:04:03,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,0.000000,appl,0,,OUT,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,GFFDCXB4ZJSWRYABMMABTO4ZXNVFK2S3W7DC3YUKYVFJOXFRCIAQ,0.001,0,2024-01-27 07:41:12,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,0,pay,0.000013,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,GFFDCXB4ZJSWRYABMMABTO4ZXNVFK2S3W7DC3YUKYVFJOXFRCIAQ,0,0.000000,2024-01-27 07:41:12,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,0.000000,pay,0,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,VQYWYD7E4FKCWYSNAYSN62FYLKTR4542NSVGMEUJY65JJ73RKYUA,0.001,0,2024-01-27 07:41:06,5ZTFAAE5XSZXQSE2VSYNP2IDQTODCAWJD5YXMPIRYRDVKE3XZSL7FXHCSU,0,pay,0.000100,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
pera-wallet,phone:mobile-1,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,VQYWYD7E4FKCWYSNAYSN62FYLKTR4542NSVGMEUJY65JJ73RKYUA,0,0.000000,2024-01-27 07:41:06,5ZTFAAE5XSZXQSE2VSYNP2IDQTODCAWJD5YXMPIRYRDVKE3XZSL7FXHCSU,0.000000,pay,0,55YXQ2AC7PUOOYIWUFIOGFZ7M5CBWFUDOIT7L3FMZVE7HGC3IKABL7HVOE,IN,false
